genus,lat,lon,species,elevation,country,eventDate,source
Abies webbiana,31.983334,77.433333,Abies spectabilis,,India,1847-08-19T00:00,GBIF
Pinus roxburghii,31.704127,76.939749,Pinus roxburghii,,India,2025-12-23T13:56:12,GBIF
Pinus roxburghii,30.880025,77.001358,Pinus roxburghii,,India,2024-06-30T13:48:27,GBIF
Pinus roxburghii,31.0924,77.34566,Pinus roxburghii,,India,2024-11-27,GBIF
Pinus roxburghii,31.09749,77.153191,Pinus roxburghii,,India,2022-07-10T13:59,GBIF
Pinus roxburghii,31.716444,77.004748,Pinus roxburghii,,India,1998-12-03T00:47,GBIF
Pinus roxburghii,31.1667,77.5833,Pinus roxburghii,,India,1954-06-11,GBIF
Pinus roxburghii,31.116667,77.15,Pinus roxburghii,,India,1844-01-01T00:00,GBIF
Pinus gerardiana,31.701758,78.433037,Pinus gerardiana,,India,2022-06-02T09:51:57,GBIF
Pinus gerardiana,31.447433,78.341141,Pinus gerardiana,,India,2015-06-01T18:01,GBIF
Pinus gerardiana,31.713696,78.547655,Pinus gerardiana,,India,2015-06-02T14:55,GBIF
Pinus gerardiana,31.533333,78.133333,Pinus gerardiana,2438.0,India,1939-08-08,GBIF
Pinus gerardiana,31.116667,77.15,Pinus gerardiana,,India,1885-01-01T00:00,GBIF
Pinus gerardiana,31.983334,77.433333,Pinus gerardiana,2100.0,India,1847-08-18T00:00,GBIF
Picea smithiana,30.814593,77.44795,Picea smithiana,,India,2024-07-29T10:12:04,GBIF
Picea smithiana,30.952508,77.20253,Picea smithiana,,India,1984-06,GBIF
Cedrus deodara,31.104957,77.163987,Cedrus deodara,,India,2025-02-24T16:40:05,GBIF
Cedrus deodara,31.587842,77.352393,Cedrus deodara,,India,2025-03-02T11:31:24,GBIF
Cedrus deodara,31.587808,77.352419,Cedrus deodara,,India,2025-03-02T11:27:20,GBIF
Cedrus deodara,31.586305,77.352716,Cedrus deodara,,India,2025-03-02T07:32,GBIF
Cedrus deodara,31.077277,78.184776,Cedrus deodara,,India,2025-06-21T13:40:23,GBIF
Cedrus deodara,30.978553,77.202387,Cedrus deodara,,India,2025-06-13T17:49:05,GBIF
Cedrus deodara,30.860382,77.168617,Cedrus deodara,,India,2025-07-22T14:15:17,GBIF
Cedrus deodara,31.95447,77.11183,Cedrus deodara,,India,2025-08-04,GBIF
Cedrus deodara,31.10496,77.16399,Cedrus deodara,,India,2025-09-20,GBIF
Cedrus deodara,31.708322,76.936292,Cedrus deodara,,India,2025-12-23T13:30:52,GBIF
Cedrus deodara,31.706339,76.937893,Cedrus deodara,,India,2025-12-23T09:53:22,GBIF
Cedrus deodara,31.706417,76.938073,Cedrus deodara,,India,2025-12-26T12:46:35,GBIF
Cedrus deodara,31.706369,76.937976,Cedrus deodara,,India,2025-12-22T09:47:27,GBIF
Cedrus deodara,31.706327,76.9383,Cedrus deodara,,India,2025-12-22T09:47:03,GBIF
Cedrus deodara,31.698884,76.933485,Cedrus deodara,,India,2025-12-29,GBIF
Cedrus deodara,31.421496,77.391575,Cedrus deodara,,India,2024-05-04T14:09,GBIF
Cedrus deodara,31.586257,77.354492,Cedrus deodara,,India,2023-05-06T10:59:20,GBIF
Cedrus deodara,31.812181,77.188437,Cedrus deodara,1018.0,India,2022-05-31T00:37:01.488Z,GBIF
Cedrus deodara,31.756317,77.385512,Cedrus deodara,2205.1,India,2022-05-05T06:20:52.736Z,GBIF
Cedrus deodara,31.099547,77.20734,Cedrus deodara,2256.0,India,2022-05-01T09:21:50.812Z,GBIF
Cedrus deodara,31.031406,78.718528,Cedrus deodara,,India,2022-07-02T07:51:50,GBIF
Cedrus deodara,30.972603,78.436668,Cedrus deodara,2562.0,India,2022-09-30T01:14:43.204Z,GBIF
Cedrus deodara,32.111093,77.164537,Cedrus deodara,1718.56,India,2021-03-30T06:29:32.936Z,GBIF
Cedrus deodara,31.383015,77.21301,Cedrus deodara,1358.1,India,2021-04-30T13:23:03.940Z,GBIF
Cedrus deodara,31.594406,77.347053,Cedrus deodara,,India,2021-07-05T11:56,GBIF
Cedrus deodara,31.173943,77.203201,Cedrus deodara,2134.0,India,2021-08-20T09:24:28.414Z,GBIF
Cedrus deodara,32.104458,77.16402,Cedrus deodara,1815.0,India,2021-12-01T10:14:04.959Z,GBIF
Cedrus deodara,31.128515,77.698388,Cedrus deodara,2111.54,India,2020-06-28T11:06:23.122Z,GBIF
Cedrus deodara,31.576164,77.347557,Cedrus deodara,2338.0,India,2020-07-02T15:23:18.938Z,GBIF
Cedrus deodara,31.026122,77.484714,Cedrus deodara,,India,2020-07-03T08:49:02.367Z,GBIF
Cedrus deodara,32.026048,77.352362,Cedrus deodara,,India,2020-10-27T03:30:24.460Z,GBIF
Cedrus deodara,31.113375,77.151144,Cedrus deodara,1869.0,India,2020-10-25T10:43:46.143Z,GBIF
Cedrus deodara,32.032908,76.72518,Cedrus deodara,,India,2019-05-29T13:28:14.183Z,GBIF
Cedrus deodara,31.418819,78.265236,Cedrus deodara,,India,2019-06-03T09:58:58,GBIF
Cedrus deodara,30.983,77.571707,Cedrus deodara,2237.28,India,2019-08-24T07:33:16.647Z,GBIF
Cedrus deodara,30.900412,77.027232,Cedrus deodara,1505.0,India,2019-10-10T11:17:46.158Z,GBIF
Cedrus deodara,31.1837,77.185275,Cedrus deodara,2008.32,India,2019-10-16T05:02:26.670Z,GBIF
Cedrus deodara,30.86232,77.168983,Cedrus deodara,1232.0,India,2019-11-22T06:08:55.025Z,GBIF
Cedrus deodara,31.64177,77.388059,Cedrus deodara,,India,2018-08-15T08:23:44,GBIF
Cedrus deodara,31.097858,77.267814,Cedrus deodara,,India,2017-10-05T12:11,GBIF
Cedrus deodara,30.835335,77.341034,Cedrus deodara,,India,2016-06-29,GBIF
Cedrus deodara,31.609469,78.429008,Cedrus deodara,,India,2015-06-02T15:44,GBIF
Cedrus deodara,31.609468,78.429008,Cedrus deodara,,India,2015-06-02,GBIF
Cedrus deodara,31.130944,77.236639,Cedrus deodara,,India,2010-05-09T13:33,GBIF
Cedrus deodara,30.981861,77.195278,Cedrus deodara,,India,2010-05-13T16:20,GBIF
Cedrus deodara,32.108847,77.162212,Cedrus deodara,,India,2010-05-21T08:35,GBIF
Cedrus deodara,31.131818,77.235765,Cedrus deodara,,India,2010-06-17T14:42,GBIF
Cedrus deodara,31.104678,77.175756,Cedrus deodara,,India,2009-09-29T18:00,GBIF
Cedrus deodara,31.098485,77.17683,Cedrus deodara,,India,2007-10-31T16:24,GBIF
Cedrus deodara,31.466667,78.166667,Cedrus deodara,2743.0,India,1939-06-24,GBIF
Betula utilis,31.345036,78.454338,Betula utilis,,India,2019-06-01T10:55:37,GBIF
Betula utilis,31.086642,77.279248,Betula utilis,,India,1984-06,GBIF
Betula utilis,31.63,78.33,Betula utilis,,India,1847-08-19,GBIF
Betula utilis,32.17,77.13,Betula utilis,3010.0,India,,GBIF
Betula utilis,30.88,77.48,Betula utilis,,India,,GBIF
Betula utilis,31.25,77.5,Betula utilis,,India,,GBIF
Betula utilis,32.07,77.27,Betula utilis,,India,,GBIF
Betula utilis,31.03,78.83,Betula utilis,3658.0,India,,GBIF
Betula utilis,31.15,78.42,Betula utilis,3353.0,India,,GBIF
Juglans regia,31.95447,77.11183,Juglans regia,,India,2025-08-04,GBIF
Juglans regia,30.90438,78.360595,Juglans regia,,India,2022-06-30T06:45:36,GBIF
Juglans regia,30.818476,78.598907,Juglans regia,,India,2021-05-18T16:44:31,GBIF
Juglans regia,31.423275,78.258507,Juglans regia,,India,2019-06-04T18:48:39,GBIF
Juglans regia,31.609468,78.429008,Juglans regia,,India,2015-06-03,GBIF
Juglans regia,31.609469,78.429008,Juglans regia,,India,2015-06-03T08:39,GBIF
Juglans regia,30.930308,78.40054,Juglans regia,,India,1984-10,GBIF
Juglans regia,31.244,77.071,Juglans regia,,India,,GBIF
Juglans regia,31.820115,77.287728,Juglans regia,,India,,GBIF
Juglans regia,31.882025,77.387932,Juglans regia,,India,,GBIF
Juglans regia,31.76346,77.08042,Juglans regia,,India,,GBIF
Platanus orientalis,31.368811,77.171111,Platanus orientalis,1928.0,India,2019-07-23T14:01:10.438Z,GBIF
Platanus orientalis,31.104811,77.173733,Platanus orientalis,,India,2014-04-20,GBIF
Pistacia chinensis,31.53,78.25,Pistacia chinensis,,India,,GBIF
Pistacia chinensis,31.12,77.15,Pistacia chinensis,,India,,GBIF
Pinus roxburghii,30.8205998596,76.9907704554,Pinus roxburghii,,,2026-01-25,iNaturalist
Pinus roxburghii,31.70412735,76.93974893,Pinus roxburghii,,,2025-12-23,iNaturalist
Pinus roxburghii,30.8648909786,77.1176374331,Pinus roxburghii,,,2025-04-27,iNaturalist
Pinus roxburghii,32.0126667997,77.3122201997,Pinus roxburghii,,,2024-11-02,iNaturalist
Pinus roxburghii,30.880025,77.0013583333,Pinus roxburghii,,,2024-06-30,iNaturalist
Pinus roxburghii,31.716443784,77.0047483636,Pinus roxburghii,,,1998-12-03,iNaturalist
Pinus roxburghii,31.0974903056,77.1531906111,Pinus roxburghii,,,2022-07-10,iNaturalist
Pinus roxburghii,31.7765572625,76.9876927882,Pinus roxburghii,,,2023-04-04,iNaturalist
Pinus roxburghii,31.7713728703,76.9860227779,Pinus roxburghii,,,2023-03-30,iNaturalist
Pinus roxburghii,31.7796690693,76.9879536331,Pinus roxburghii,,,2022-02-14,iNaturalist
Pinus roxburghii,31.7674121969,76.9791157544,Pinus roxburghii,,,2022-04-02,iNaturalist
Pinus roxburghii,31.7663395506,76.9803995267,Pinus roxburghii,,,2022-04-04,iNaturalist
Pinus roxburghii,31.7750711511,76.9869937375,Pinus roxburghii,,,2022-04-12,iNaturalist
Pinus roxburghii,31.7765011133,76.9873437658,Pinus roxburghii,,,2022-05-12,iNaturalist
Pinus gerardiana,31.7017582873,78.4330373964,Pinus gerardiana,,,2022-06-02,iNaturalist
Pinus gerardiana,31.7136959368,78.5476546349,Pinus gerardiana,,,2015-06-02,iNaturalist
Pinus gerardiana,31.4474328739,78.3411409214,Pinus gerardiana,,,2015-06-01,iNaturalist
Picea smithiana,30.8145933333,77.44795,Picea smithiana,,,2024-07-29,iNaturalist
Picea smithiana,31.9801289044,77.4484356138,Picea smithiana,,,2025-06-21,iNaturalist
Cedrus deodara,31.6988841168,76.9334850088,Cedrus deodara,,,2025-12-29,iNaturalist
Cedrus deodara,31.7064166667,76.9380733333,Cedrus deodara,,,2025-12-26,iNaturalist
Cedrus deodara,31.7083222,76.9362916,Cedrus deodara,,,2025-12-23,iNaturalist
Cedrus deodara,31.7063392659,76.9378932645,Cedrus deodara,,,2025-12-23,iNaturalist
Cedrus deodara,31.70636921,76.93797645,Cedrus deodara,,,2025-12-22,iNaturalist
Cedrus deodara,31.7063272605,76.9382998254,Cedrus deodara,,,2025-12-22,iNaturalist
Cedrus deodara,31.0984849834,77.1768295379,Cedrus deodara,,,2007-10-31,iNaturalist
Cedrus deodara,30.860382428,77.1686165281,Cedrus deodara,,,2025-07-22,iNaturalist
Cedrus deodara,31.0772766413,78.1847761341,Cedrus deodara,,,2025-06-21,iNaturalist
Cedrus deodara,32.1123997261,77.1645133942,Cedrus deodara,,,2025-06-18,iNaturalist
Cedrus deodara,30.9785533333,77.2023866667,Cedrus deodara,,,2025-06-13,iNaturalist
Cedrus deodara,31.5863045,77.352716,Cedrus deodara,,,2025-03-02,iNaturalist
Cedrus deodara,30.8645772045,77.1195565277,Cedrus deodara,,,2025-04-27,iNaturalist
Cedrus deodara,31.4606666667,78.1706111111,Cedrus deodara,,,2024-09-30,iNaturalist
Cedrus deodara,31.5878424,77.3523925,Cedrus deodara,,,2025-03-02,iNaturalist
Cedrus deodara,31.58780764,77.35241874,Cedrus deodara,,,2025-03-02,iNaturalist
Cedrus deodara,31.1049568632,77.163987346,Cedrus deodara,,,2025-02-24,iNaturalist
Cedrus deodara,30.8176799722,78.5934869722,Cedrus deodara,,,2024-12-20,iNaturalist
Cedrus deodara,30.8169106597,78.6022748574,Cedrus deodara,,,2024-11-29,iNaturalist
Cedrus deodara,31.6328537185,76.8138643269,Cedrus deodara,,,2024-09-07,iNaturalist
Cedrus deodara,31.7754334179,76.9858514518,Cedrus deodara,,,2023-02-24,iNaturalist
Cedrus deodara,31.8239466693,77.0830758289,Cedrus deodara,,,2023-01-21,iNaturalist
Cedrus deodara,31.8236629335,77.0849010721,Cedrus deodara,,,2023-01-21,iNaturalist
Cedrus deodara,31.104815,77.173403,Cedrus deodara,,,2008-05-31,iNaturalist
Cedrus deodara,31.7727501587,76.9833834842,Cedrus deodara,,,2022-11-17,iNaturalist
Cedrus deodara,31.7730123884,76.9834629446,Cedrus deodara,,,2022-09-25,iNaturalist
Cedrus deodara,31.7737785511,76.9858390465,Cedrus deodara,,,2022-08-16,iNaturalist
Cedrus deodara,31.0314055,78.7185283333,Cedrus deodara,,,2022-07-02,iNaturalist
Cedrus deodara,30.9818609999,77.195278,Cedrus deodara,,,2010-05-13,iNaturalist
Cedrus deodara,31.1000575147,77.2610172638,Cedrus deodara,,,2022-04-12,iNaturalist
Cedrus deodara,31.5944062375,77.3470529645,Cedrus deodara,,,2021-07-05,iNaturalist
Cedrus deodara,31.6094693,78.4290079,Cedrus deodara,,,2015-06-02,iNaturalist
Cedrus deodara,31.4188194275,78.2652359009,Cedrus deodara,,,2019-06-03,iNaturalist
Cedrus deodara,31.0978583,77.2678137,Cedrus deodara,,,2017-10-05,iNaturalist
Cedrus deodara,31.6417698696,77.3880592034,Cedrus deodara,,,2018-08-15,iNaturalist
Taxus baccata,30.820295,78.5984739722,Taxus baccata,,,2025-05-07,iNaturalist
Betula utilis,31.345035553,78.4543380737,Betula utilis jacquemontii,,,2019-06-01,iNaturalist
Juglans regia,30.8397833333,78.59388,Juglans regia,,,2025-09-19,iNaturalist
Juglans regia,30.8210694444,78.598725,Juglans regia,,,2025-05-14,iNaturalist
Juglans regia,30.9043800023,78.360595,Juglans regia,,,2022-06-30,iNaturalist
Juglans regia,32.1113891602,77.1637191772,Juglans regia,,,2021-08-20,iNaturalist
Juglans regia,30.8184757233,78.5989074707,Juglans regia,,,2021-05-18,iNaturalist
Juglans regia,31.6094693,78.4290079,Juglans regia,,,2015-06-03,iNaturalist
Juglans regia,31.4232749939,78.2585067749,Juglans regia,,,2019-06-04,iNaturalist
Platanus orientalis,31.7734844001,76.9855148345,Platanus orientalis,,,2022-08-16,iNaturalist
Platanus orientalis,31.1011638333,77.1743866667,Platanus orientalis,,,2018-05-30,iNaturalist
Salix acmophylla,31.782874537,76.9969651848,Salix acmophylla,,,2023-03-22,iNaturalist
